,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,forced_exposure_max,n_sample
0,0,0,0,BD,animacy,0.001,-0.224901185770751,0.0733201581027667,0,1,1,1,,40
1,0,0,1,BD,animacy,0.001,-0.224901185770751,0.0733201581027667,0,1,1,1,,4
2,1,0,0,BBBD,animacy,0.001,0.2490118577075097,-0.1341897233201581,0,1,1,1,,39
3,1,0,1,BBBD,animacy,0.001,0.2490118577075097,-0.1341897233201581,0,1,1,1,,2
4,1,0,2,BBBD,animacy,0.001,0.2490118577075097,-0.1341897233201581,0,1,1,1,,3
5,1,0,3,BBBD,animacy,0.001,0.2490118577075097,-0.1341897233201581,0,1,1,1,,3
6,2,0,0,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,12
7,2,0,1,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,6
8,2,0,2,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,2
9,2,0,3,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,6
10,2,0,4,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,3
11,2,0,5,BBBBBD,animacy,0.001,0.0215415019762845,-0.2687747035573122,0,1,1,1,,14
12,3,0,0,BD,number,0.001,-0.1341897233201581,-0.2043478260869565,0,1,1,1,,10
13,3,0,1,BD,number,0.001,-0.1341897233201581,-0.2043478260869565,0,1,1,1,,25
14,4,0,0,BBBD,number,0.001,-0.016798418972332,-0.0120553359683795,0,1,1,1,,7
15,4,0,1,BBBD,number,0.001,-0.016798418972332,-0.0120553359683795,0,1,1,1,,2
16,4,0,2,BBBD,number,0.001,-0.016798418972332,-0.0120553359683795,0,1,1,1,,2
17,4,0,3,BBBD,number,0.001,-0.016798418972332,-0.0120553359683795,0,1,1,1,,1
18,5,0,0,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,15
19,5,0,1,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,22
20,5,0,2,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,7
21,5,0,3,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,5
22,5,0,4,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,4
23,5,0,5,BBBBBD,number,0.001,-0.224901185770751,-0.2219367588932806,0,1,1,1,,4
24,6,0,0,BD,pose,0.001,-0.3616600790513834,-0.2193675889328064,0,1,1,1,,32
25,6,0,1,BD,pose,0.001,-0.3616600790513834,-0.2193675889328064,0,1,1,1,,12
26,7,0,0,BBBD,pose,0.001,-0.4268774703557312,-0.4110671936758893,0,1,1,1,,11
27,7,0,1,BBBD,pose,0.001,-0.4268774703557312,-0.4110671936758893,0,1,1,1,,1
28,7,0,2,BBBD,pose,0.001,-0.4268774703557312,-0.4110671936758893,0,1,1,1,,1
29,7,0,3,BBBD,pose,0.001,-0.4268774703557312,-0.4110671936758893,0,1,1,1,,1
30,8,0,0,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,35
31,8,0,1,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,7
32,8,0,2,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,8
33,8,0,3,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,6
34,8,0,4,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,8
35,8,0,5,BBBBBD,pose,0.001,-0.3675889328063241,-0.3517786561264822,0,1,1,1,,5
36,9,0,0,BD,identity,0.001,-0.2839920948616601,-0.2347826086956522,0,1,1,1,,46
37,9,0,1,BD,identity,0.001,-0.2839920948616601,-0.2347826086956522,0,1,1,1,,15
38,10,0,0,BBBD,identity,0.001,0.0199604743083003,0.1798418972332015,0,1,1,1,,17
39,10,0,1,BBBD,identity,0.001,0.0199604743083003,0.1798418972332015,0,1,1,1,,2
40,10,0,2,BBBD,identity,0.001,0.0199604743083003,0.1798418972332015,0,1,1,1,,3
41,10,0,3,BBBD,identity,0.001,0.0199604743083003,0.1798418972332015,0,1,1,1,,1
42,11,0,0,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,33
43,11,0,1,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,1
44,11,0,2,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,9
45,11,0,3,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,6
46,11,0,4,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,9
47,11,0,5,BBBBBD,identity,0.001,0.2193675889328061,-0.0225296442687747,0,1,1,1,,3
48,12,0,0,BB,animacy,0.001,0.0733201581027667,-0.1341897233201581,0,1,1,1,,7
49,12,0,1,BB,animacy,0.001,0.0733201581027667,-0.1341897233201581,0,1,1,1,,2
50,13,0,0,BBBB,animacy,0.001,0.1916996047430829,-0.2411067193675889,0,1,1,1,,11
51,13,0,1,BBBB,animacy,0.001,0.1916996047430829,-0.2411067193675889,0,1,1,1,,2
52,13,0,2,BBBB,animacy,0.001,0.1916996047430829,-0.2411067193675889,0,1,1,1,,1
53,13,0,3,BBBB,animacy,0.001,0.1916996047430829,-0.2411067193675889,0,1,1,1,,1
54,14,0,0,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,34
55,14,0,1,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,3
56,14,0,2,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,5
57,14,0,3,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,5
58,14,0,4,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,1
59,14,0,5,BBBBBB,animacy,0.001,0.2272727272727271,-0.4169960474308301,0,1,1,1,,8
