,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,forced_exposure_max,n_sample
0,0,0,0,B,animacy,0.001,-0.0642292490118577,-0.2411067193675889,0,1,1,1,5,62
1,1,0,0,BB,animacy,0.001,0.0780632411067192,-0.2687747035573122,0,1,1,1,5,5
2,1,0,1,BB,animacy,0.001,0.0780632411067192,-0.2687747035573122,0,1,1,1,5,80
3,2,0,0,BBB,animacy,0.001,-0.2126482213438735,0.0290513833992094,0,1,1,1,5,5
4,2,0,1,BBB,animacy,0.001,-0.2126482213438735,0.0290513833992094,0,1,1,1,5,5
5,2,0,2,BBB,animacy,0.001,-0.2126482213438735,0.0290513833992094,0,1,1,1,5,13
6,3,0,0,BBBB,animacy,0.001,0.0308300395256916,-0.2687747035573122,0,1,1,1,5,5
7,3,0,1,BBBB,animacy,0.001,0.0308300395256916,-0.2687747035573122,0,1,1,1,5,5
8,3,0,2,BBBB,animacy,0.001,0.0308300395256916,-0.2687747035573122,0,1,1,1,5,5
9,3,0,3,BBBB,animacy,0.001,0.0308300395256916,-0.2687747035573122,0,1,1,1,5,25
10,4,0,0,BBBBB,animacy,0.001,0.0920948616600789,-0.3675889328063241,0,1,1,1,5,5
11,4,0,1,BBBBB,animacy,0.001,0.0920948616600789,-0.3675889328063241,0,1,1,1,5,5
12,4,0,2,BBBBB,animacy,0.001,0.0920948616600789,-0.3675889328063241,0,1,1,1,5,5
13,4,0,3,BBBBB,animacy,0.001,0.0920948616600789,-0.3675889328063241,0,1,1,1,5,5
14,4,0,4,BBBBB,animacy,0.001,0.0920948616600789,-0.3675889328063241,0,1,1,1,5,28
15,6,0,0,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,5
16,6,0,1,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,5
17,6,0,2,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,5
18,6,0,3,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,5
19,6,0,4,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,5
20,6,0,5,BBBBBB,animacy,0.001,-0.208498023715415,-0.0120553359683795,0,1,1,1,5,467
21,7,0,0,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
22,7,0,1,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
23,7,0,2,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
24,7,0,3,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
25,7,0,4,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
26,7,0,5,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,5
27,7,0,6,BBBBBBB,animacy,0.001,-0.3201581027667984,-0.0391304347826087,0,1,1,1,5,39
28,8,0,0,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
29,8,0,1,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
30,8,0,2,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
31,8,0,3,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
32,8,0,4,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
33,8,0,5,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
34,8,0,6,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,5
35,8,0,7,BBBBBBBB,animacy,0.001,-0.3675889328063241,0.2470355731225296,0,1,1,1,5,3
36,9,0,0,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
37,9,0,1,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
38,9,0,2,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
39,9,0,3,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
40,9,0,4,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
41,9,0,5,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
42,9,0,6,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
43,9,0,7,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,5
44,9,0,8,BBBBBBBBB,animacy,0.001,0.1798418972332015,-0.3616600790513834,0,1,1,1,5,35
