epsilon,mu_prior,v_prior,beta_prior,alpha_prior,stim_sequence,forced_exposure_max,fam_duration_GRANCH,test_type_GRANCH,param_info,intercept,slope,n_samples.x,test_type_nolearning,fam_duration_nolearning,n_samples.y,test_type,fam_duration,value_type,value
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,RANCH (infants),21.64418705006288
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,No Learning,17.824594894065978
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,No Noise,20.699831003110994
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,Infant behavior,21.036882352941177
1e-5,0,2,15,5,BB,5,1,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.913,fam,1,1.53,Familiar,1,RANCH (infants),19.941222365854834
1e-5,0,2,15,5,BB,5,1,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.913,fam,1,1.53,Familiar,1,No Learning,18.30003133886978
1e-5,0,2,15,5,BB,5,1,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.913,fam,1,1.53,Familiar,1,No Noise,19.900401467095854
1e-5,0,2,15,5,BB,5,1,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.913,fam,1,1.53,Familiar,1,Infant behavior,19.8275
1e-5,0,2,15,5,BBB,5,2,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.013,fam,2,1.462,Familiar,2,RANCH (infants),18.58635808879688
1e-5,0,2,15,5,BBB,5,2,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.013,fam,2,1.462,Familiar,2,No Learning,17.45103768743442
