,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,forced_exposure_max,n_sample
0,0,0,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,13
1,0,0,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
2,0,0,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
3,0,0,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
4,0,0,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
5,0,0,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
6,0,1,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,25
7,0,1,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,7
8,0,1,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
9,0,1,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
10,0,1,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
11,0,1,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
12,0,2,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,22
13,0,2,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
14,0,2,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
15,0,2,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
16,0,2,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
17,0,2,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
18,0,3,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,21
19,0,3,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,12
20,0,3,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,15
21,0,3,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
22,0,3,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
23,0,3,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
24,0,4,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,47
25,0,4,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
26,0,4,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,12
27,0,4,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
28,0,4,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
29,0,4,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
30,0,5,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,32
31,0,5,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,12
32,0,5,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
33,0,5,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,7
34,0,5,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
35,0,5,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
36,0,6,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,26
37,0,6,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,11
38,0,6,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,16
39,0,6,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
40,0,6,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
41,0,6,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
42,0,7,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,33
43,0,7,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
44,0,7,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,8
