subject,block_number,block_type,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1630945779290,1,complex_dissimilar,curiosity,2,1,background,19033.299999952316,images/stimuli/complex_10_A_a.gif,curiosity_background,3
SS1630945779290,1,complex_dissimilar,curiosity,2,2,deviant,11632.599999904633,images/stimuli/complex_13_A_a.gif,curiosity_background,3
SS1630945779290,1,complex_dissimilar,curiosity,2,3,background,6880.299999952316,images/stimuli/complex_10_A_a.gif,curiosity_background,3
SS1630945779290,1,complex_dissimilar,curiosity,2,4,background,2866,images/stimuli/complex_10_A_a.gif,curiosity_background,3
SS1630945779290,1,complex_dissimilar,curiosity,2,5,background,1257.1000001430511,images/stimuli/complex_10_A_a.gif,curiosity_background,3
SS1630945779290,1,complex_dissimilar,curiosity,2,6,background,4063.399999856949,images/stimuli/complex_10_A_a.gif,curiosity_background,3
SS1630945779290,2,complex_dissimilar,curiosity,6,1,background,6077.099999904633,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630945779290,2,complex_dissimilar,curiosity,6,2,background,8894.699999809265,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630945779290,2,complex_dissimilar,curiosity,6,3,background,2205.9000000953674,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630945779290,2,complex_dissimilar,curiosity,6,4,background,5127.599999904633,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630945779290,2,complex_dissimilar,curiosity,6,5,background,7524.400000095367,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630945779290,2,complex_dissimilar,curiosity,6,6,deviant,4584.600000143051,images/stimuli/complex_06_A_a.gif,curiosity_background,1
SS1630945779290,3,simple_dissimilar,curiosity,4,1,background,8653.599999904633,images/stimuli/simple_01_A_a.gif,curiosity_novel,0
SS1630945779290,3,simple_dissimilar,curiosity,4,2,background,2889.399999856949,images/stimuli/simple_01_A_a.gif,curiosity_novel,0
SS1630945779290,3,simple_dissimilar,curiosity,4,3,background,2961.7999999523163,images/stimuli/simple_01_A_a.gif,curiosity_novel,0
SS1630945779290,3,simple_dissimilar,curiosity,4,4,deviant,7807.5,images/stimuli/simple_17_A_a.gif,curiosity_novel,0
SS1630945779290,3,simple_dissimilar,curiosity,4,5,background,7000,images/stimuli/simple_01_A_a.gif,curiosity_novel,0
SS1630945779290,3,simple_dissimilar,curiosity,4,6,background,2335.699999809265,images/stimuli/simple_01_A_a.gif,curiosity_novel,0
SS1630945779290,4,complex_dissimilar,curiosity,4,1,background,5876.200000047684,images/stimuli/complex_19_A_a.gif,curiosity_background,3
SS1630945779290,4,complex_dissimilar,curiosity,4,2,background,7397.199999809265,images/stimuli/complex_19_A_a.gif,curiosity_background,3
SS1630945779290,4,complex_dissimilar,curiosity,4,3,background,1472.1999998092651,images/stimuli/complex_19_A_a.gif,curiosity_background,3
SS1630945779290,4,complex_dissimilar,curiosity,4,4,deviant,5852.399999856949,images/stimuli/complex_17_A_a.gif,curiosity_background,3
SS1630945779290,4,complex_dissimilar,curiosity,4,5,background,761.2999999523163,images/stimuli/complex_19_A_a.gif,curiosity_background,3
SS1630945779290,4,complex_dissimilar,curiosity,4,6,background,5296.600000143051,images/stimuli/complex_19_A_a.gif,curiosity_background,3
SS1630945779290,5,simple_dissimilar,curiosity,NA,1,background,5786.5,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,5,simple_dissimilar,curiosity,NA,2,background,2511.9000000953674,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,5,simple_dissimilar,curiosity,NA,3,background,2120.2999999523163,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,5,simple_dissimilar,curiosity,NA,4,background,6576.099999904633,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,5,simple_dissimilar,curiosity,NA,5,background,2969.7000000476837,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,5,simple_dissimilar,curiosity,NA,6,background,3832.7999999523163,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630945779290,6,simple_dissimilar,curiosity,2,1,background,9053.799999952316,images/stimuli/simple_04_A_a.gif,curiosity_novel,1
SS1630945779290,6,simple_dissimilar,curiosity,2,2,deviant,9112.5,images/stimuli/simple_07_A_a.gif,curiosity_novel,1
SS1630945779290,6,simple_dissimilar,curiosity,2,3,background,5118,images/stimuli/simple_04_A_a.gif,curiosity_novel,1
SS1630945779290,6,simple_dissimilar,curiosity,2,4,background,7600.900000095367,images/stimuli/simple_04_A_a.gif,curiosity_novel,1
SS1630945779290,6,simple_dissimilar,curiosity,2,5,background,6710.600000143051,images/stimuli/simple_04_A_a.gif,curiosity_novel,1
