stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
2,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,0,BBBBBB
3,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,1,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,0,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,0,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,2,BBBBBB
5,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,0,BBBBBB
0,0,0,2,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,1,BBBBBB
1,1,0,0,1,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,3,BBBBBB
2,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,1,BBBBBB
6,1,1,0,1,1,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,0,BBBBBB
9,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,0,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,2,BBBBBB
4,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,1,BBBBBB
1,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,4,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,2,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,3,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,5,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,3,BBBBBB
4,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,2,BBBBBB
2,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,6,BBBBBB
1,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,4,BBBBBB
7,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,1,BBBBBB
1,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,4,BBBBBB
7,1,0,0,0,0,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,1,BBBBBB
2,1,0,0,1,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,7,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,5,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,5,BBBBBB
4,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,3,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,8,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,6,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,6,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,9,BBBBBB
10,2,2,1,1,1,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,2,BBBBBB
6,1,0,0,0,1,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,4,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,7,BBBBBB
3,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,7,BBBBBB
9,1,0,0,0,0,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,2,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,10,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,8,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,11,BBBBBB
2,0,1,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,8,BBBBBB
5,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,5,BBBBBB
4,2,1,1,1,1,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,0,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,12,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,9,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,9,BBBBBB
9,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,3,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,13,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,10,BBBBBB
1,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,10,BBBBBB
5,1,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,1,BBBBBB
11,2,1,1,1,1,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,3,BBBBBB
5,1,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,6,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,14,BBBBBB
6,0,0,0,0,0,-1.1773582728169096,-2.7970101116064394,0.0,1.0,1.0,1.0,0.0001,0.01,0,BBBBBB
18,1,1,0,0,0,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,0,BBBBBB
