stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
24,8,3,3,2,2,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,0,BBBBBB
16,5,2,1,1,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,0,BBBBBB
8,5,4,2,2,1,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,1,BBBBBB
7,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,0,BBBBBB
14,8,7,7,7,1,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,2,BBBBBB
11,1,1,1,1,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,0,BBBBBB
10,3,2,1,1,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,1,BBBBBB
17,16,11,8,6,5,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,3,BBBBBB
11,4,4,2,2,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,1,BBBBBB
10,5,5,7,5,3,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,4,BBBBBB
9,4,2,1,1,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,2,BBBBBB
8,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,1,BBBBBB
9,5,4,3,2,2,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,5,BBBBBB
13,5,4,3,2,2,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,3,BBBBBB
10,1,1,0,11,7,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,2,BBBBBB
14,15,13,11,1,1,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,6,BBBBBB
17,6,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,2,BBBBBB
13,6,3,2,1,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,4,BBBBBB
8,4,1,1,1,1,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,7,BBBBBB
24,14,10,8,6,5,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,3,BBBBBB
10,15,3,3,4,2,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,8,BBBBBB
