subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1681494143339,2414,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_left.png,animate_pair_left,animate_pair_left,identity,4,1,1,animate,pair,left,background
SS1681494143339,2909,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_left.png,animate_pair_left,animate_pair_left,identity,4,2,1,animate,pair,left,background
SS1681494143339,3745,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_left.png,animate_pair_left,animate_pair_left,identity,4,3,1,animate,pair,left,background
SS1681494143339,6367,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_007_left.png,animate_pair_left,animate_pair_left,identity,4,4,1,animate,pair,left,deviant
SS1681494143339,1736,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,2,1,2,inanimate,pair,left,background
SS1681494143339,1572,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,2,2,2,inanimate,pair,left,background
SS1681494143339,1427,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,1,3,inanimate,single,left,background
SS1681494143339,2205,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,2,3,inanimate,single,left,background
SS1681494143339,2781,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,3,3,inanimate,single,left,background
SS1681494143339,2121,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,4,3,inanimate,single,left,background
SS1681494143339,1526,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,5,3,inanimate,single,left,background
SS1681494143339,1546,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,6,6,3,inanimate,single,left,deviant
SS1681494143339,1522,deviant_block,media/padded_stims/inanimate_006_right.png,media/padded_stims/inanimate_011_left.png,inanimate_pair_right,inanimate_pair_left,pose,2,1,4,inanimate,pair,right,background
SS1681494143339,2490,deviant_block,media/padded_stims/inanimate_006_right.png,media/padded_stims/inanimate_011_left.png,inanimate_pair_right,inanimate_pair_left,pose,2,2,4,inanimate,pair,right,deviant
SS1681494143339,945,background_block,media/padded_stims/animate_012_right.png,null,animate_single_right,null,null,4,1,5,animate,single,right,background
SS1681494143339,1164,background_block,media/padded_stims/animate_012_right.png,null,animate_single_right,null,null,4,2,5,animate,single,right,background
SS1681494143339,869,background_block,media/padded_stims/animate_012_right.png,null,animate_single_right,null,null,4,3,5,animate,single,right,background
SS1681494143339,768,background_block,media/padded_stims/animate_012_right.png,null,animate_single_right,null,null,4,4,5,animate,single,right,background
SS1681494143339,1143,deviant_block,media/padded_stims/animate_005_left.png,media/padded_stims/inanimate_007_left.png,animate_single_left,inanimate_single_left,animacy,2,1,6,animate,single,left,background
SS1681494143339,1023,deviant_block,media/padded_stims/animate_005_left.png,media/padded_stims/inanimate_007_left.png,animate_single_left,inanimate_single_left,animacy,2,2,6,animate,single,left,deviant
SS1681494143339,1284,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,1,7,inanimate,pair,right,background
SS1681494143339,1058,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,2,7,inanimate,pair,right,background
SS1681494143339,952,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,3,7,inanimate,pair,right,background
SS1681494143339,1011,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,4,7,inanimate,pair,right,background
SS1681494143339,1547,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,5,7,inanimate,pair,right,background
SS1681494143339,1380,background_block,media/padded_stims/inanimate_008_right.png,null,inanimate_pair_right,null,null,6,6,7,inanimate,pair,right,background
SS1681494143339,874,background_block,media/padded_stims/animate_008_left.png,null,animate_single_left,null,null,4,2,8,animate,single,left,background
SS1681494143339,832,background_block,media/padded_stims/animate_008_left.png,null,animate_single_left,null,null,4,3,8,animate,single,left,background
SS1681494143339,957,background_block,media/padded_stims/animate_008_left.png,null,animate_single_left,null,null,4,4,8,animate,single,left,background
SS1681494143339,1340,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,2,1,9,inanimate,single,left,background
