,stim_squence,violation_type,stimulus_id,b_val,d_val,batch_id,j_i,EIG,Look_away,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,weig,n_sample
0,BB,animacy,0,-1.63,1.78,1065.4705882352941,9.5,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588,112.92941176470588
1,BB,animacy,0,-1.58,0.938,1087.3333333333333,9.5,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666,110.00666666666666
2,BB,animacy,0,-1.25,1.03,1436.1875,9.5,121.75,121.75,121.75,121.75,121.75,121.75,121.75,121.75,121.75
3,BB,animacy,0,-0.682,0.445,1260.0,9.5,112.58125,112.58125,112.58125,112.58125,112.58125,112.58125,112.58125,112.58125,112.58125
4,BB,animacy,0,0.416,-0.259,1493.0,9.5,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632,111.92368421052632
5,BB,animacy,0,0.631,-1.45,1548.0,9.5,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445,108.96944444444445
6,BB,animacy,0,0.639,-1.09,1435.9444444444443,9.5,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111,100.66111111111111
7,BB,animacy,0,0.804,-1.55,1448.6875,9.5,106.665625,106.665625,106.665625,106.665625,106.665625,106.665625,106.665625,106.665625,106.665625
8,BB,animacy,0,1.5,-0.891,997.3684210526316,9.5,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157,98.91842105263157
9,BB,animacy,0,1.91,-1.58,1141.235294117647,9.5,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117,101.25588235294117
10,BB,animacy,1,-1.63,1.78,1067.4082840236686,9.535502958579881,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675,9.597633136094675
11,BB,animacy,1,-1.58,0.938,1094.2818791946308,9.54026845637584,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725,9.318791946308725
12,BB,animacy,1,-1.25,1.03,1436.4190476190477,9.466666666666667,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286,8.485714285714286
13,BB,animacy,1,-0.682,0.445,1261.7602523659307,9.46056782334385,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779,8.088328075709779
14,BB,animacy,1,0.416,-0.259,1501.215425531915,9.518617021276595,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106,9.034574468085106
