,stim_squence,violation_type,stimulus_id,n_sample
0,BB,animacy,0,125.65319343065694
1,BB,animacy,1,11.032223060954896
2,BBBB,animacy,0,123.06311548791406
3,BBBB,animacy,1,10.864091161756532
4,BBBB,animacy,2,8.2502445158586
5,BBBB,animacy,3,7.079842748163055
6,BBBBBB,animacy,0,124.2917889908257
7,BBBBBB,animacy,1,10.5126867441309
8,BBBBBB,animacy,2,8.149678034819939
9,BBBBBB,animacy,3,6.922339405560882
10,BBBBBB,animacy,4,6.20362165286072
11,BBBBBB,animacy,5,5.727848407212259
12,BBBBBD,animacy,0,126.3660577740017
13,BBBBBD,animacy,1,10.070480126626803
14,BBBBBD,animacy,2,7.891053677932406
15,BBBBBD,animacy,3,6.787077305405165
16,BBBBBD,animacy,4,6.137868056483585
17,BBBBBD,animacy,5,39.59088876967096
18,BBBBBD,identity,0,123.9600166251039
19,BBBBBD,identity,1,10.682529447167054
20,BBBBBD,identity,2,8.097401755220266
21,BBBBBD,identity,3,6.885683250054313
22,BBBBBD,identity,4,6.250305463431664
23,BBBBBD,identity,5,45.8587023235423
24,BBBBBD,number,0,126.25328498293516
25,BBBBBD,number,1,10.613691607371724
26,BBBBBD,number,2,8.21126260158991
27,BBBBBD,number,3,6.99258597588209
28,BBBBBD,number,4,6.27052012745142
29,BBBBBD,number,5,42.23824338338068
30,BBBBBD,pose,0,123.64063559322034
31,BBBBBD,pose,1,10.754578112678525
32,BBBBBD,pose,2,8.240274901978061
33,BBBBBD,pose,3,7.046293427749502
34,BBBBBD,pose,4,6.315829257447755
35,BBBBBD,pose,5,44.74943082898085
36,BBBD,animacy,0,123.97145922746782
37,BBBD,animacy,1,10.870570450402383
38,BBBD,animacy,2,8.217972206086063
39,BBBD,animacy,3,49.93395336298693
40,BBBD,identity,0,125.51633416458853
41,BBBD,identity,1,10.437728701192475
42,BBBD,identity,2,7.976118369819157
43,BBBD,identity,3,53.69421379820024
44,BBBD,number,0,125.88081650570676
45,BBBD,number,1,10.675999271601565
46,BBBD,number,2,8.185517462351811
47,BBBD,number,3,49.80117793217688
48,BBBD,pose,0,125.68778761061947
49,BBBD,pose,1,10.302769117916743
50,BBBD,pose,2,8.049276297593805
51,BBBD,pose,3,49.0431218156554
52,BD,animacy,0,124.75338842975206
53,BD,animacy,1,63.525717217495405
54,BD,identity,0,126.6070707070707
55,BD,identity,1,57.03286343996858
56,BD,number,0,126.18633034987795
57,BD,number,1,51.06792071708118
58,BD,pose,0,125.22072538860104
59,BD,pose,1,49.03053878828527
