stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,batch_id,stim_sequence
82,11,9,8,7,6,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,0,BBBBBB
68,7,6,6,5,5,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,0,BBBBBB
45,2,1,1,1,1,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,0,BBBBBB
21,11,10,10,9,9,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,1,BBBBBB
93,8,6,5,4,4,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,1,BBBBBB
43,1,1,1,0,0,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,2,BBBBBB
46,7,5,5,4,4,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,1,BBBBBB
53,2,2,2,1,1,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,2,BBBBBB
98,14,9,7,7,7,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,3,BBBBBB
14,1,0,0,0,0,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,2,BBBBBB
76,5,5,4,4,4,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,4,BBBBBB
28,1,1,1,1,1,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,3,BBBBBB
24,5,4,5,5,4,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,4,BBBBBB
72,10,8,7,6,5,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,3,BBBBBB
70,2,2,1,1,1,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,5,BBBBBB
