subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1681508896624,8577,background_block,media/padded_stims/animate_005_right.png,null,animate_pair_right,null,null,4,1,1,animate,pair,right,background
SS1681508896624,8515,background_block,media/padded_stims/animate_005_right.png,null,animate_pair_right,null,null,4,2,1,animate,pair,right,background
SS1681508896624,10231,background_block,media/padded_stims/animate_005_right.png,null,animate_pair_right,null,null,4,3,1,animate,pair,right,background
SS1681508896624,5380,background_block,media/padded_stims/animate_005_right.png,null,animate_pair_right,null,null,4,4,1,animate,pair,right,background
SS1681508896624,3510,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,2,1,2,inanimate,pair,left,background
SS1681508896624,7739,background_block,media/padded_stims/inanimate_012_left.png,null,inanimate_pair_left,null,null,2,2,2,inanimate,pair,left,background
SS1681508896624,8967,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,1,3,inanimate,pair,right,background
SS1681508896624,20827,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,2,3,inanimate,pair,right,background
SS1681508896624,7946,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,3,3,inanimate,pair,right,background
SS1681508896624,17522,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_pair_right,null,null,4,4,3,inanimate,pair,right,background
SS1681508896624,3144,deviant_block,media/padded_stims/animate_007_right.png,media/padded_stims/animate_011_left.png,animate_pair_right,animate_pair_left,pose,2,1,4,animate,pair,right,background
SS1681508896624,4988,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_001_right.png,animate_single_right,animate_single_right,identity,4,1,5,animate,single,right,background
SS1681508896624,10152,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_001_right.png,animate_single_right,animate_single_right,identity,4,2,5,animate,single,right,background
SS1681508896624,6695,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_001_right.png,animate_single_right,animate_single_right,identity,4,3,5,animate,single,right,background
SS1681508896624,7881,deviant_block,media/padded_stims/animate_011_right.png,media/padded_stims/animate_001_right.png,animate_single_right,animate_single_right,identity,4,4,5,animate,single,right,deviant
SS1681508896624,15093,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_010_left.png,inanimate_single_left,animate_single_left,animacy,4,1,6,inanimate,single,left,background
SS1681508896624,1566,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_010_left.png,inanimate_single_left,animate_single_left,animacy,4,2,6,inanimate,single,left,background
SS1681508896624,2532,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_010_left.png,inanimate_single_left,animate_single_left,animacy,4,3,6,inanimate,single,left,background
SS1681508896624,1688,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_010_left.png,inanimate_single_left,animate_single_left,animacy,4,4,6,inanimate,single,left,deviant
SS1681508896624,1291,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_004_right.png,inanimate_pair_right,inanimate_pair_right,identity,4,1,7,inanimate,pair,right,background
SS1681508896624,3081,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_004_right.png,inanimate_pair_right,inanimate_pair_right,identity,4,2,7,inanimate,pair,right,background
SS1681508896624,2124,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_004_right.png,inanimate_pair_right,inanimate_pair_right,identity,4,3,7,inanimate,pair,right,background
SS1681508896624,4078,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_004_right.png,inanimate_pair_right,inanimate_pair_right,identity,4,4,7,inanimate,pair,right,deviant
SS1681508896624,4517,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,1,8,inanimate,single,right,background
SS1681508896624,2311,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,2,8,inanimate,single,right,background
SS1681508896624,7437,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,3,8,inanimate,single,right,background
SS1681508896624,2744,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,4,8,inanimate,single,right,background
SS1681508896624,2129,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,5,8,inanimate,single,right,background
SS1681508896624,1454,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_single_right,null,null,6,6,8,inanimate,single,right,background
SS1681508896624,3477,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,1,9,animate,single,left,background
SS1681508896624,2609,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,2,9,animate,single,left,background
SS1681508896624,8112,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,3,9,animate,single,left,background
SS1681508896624,3464,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,4,9,animate,single,left,background
SS1681508896624,3255,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,5,9,animate,single,left,background
SS1681508896624,4208,background_block,media/padded_stims/animate_005_left.png,null,animate_single_left,null,null,6,6,9,animate,single,left,background
SS1681508896624,3158,deviant_block,media/padded_stims/inanimate_001_right.png,media/padded_stims/animate_012_right.png,inanimate_single_right,animate_single_right,animacy,2,1,10,inanimate,single,right,background
SS1681508896624,4610,deviant_block,media/padded_stims/inanimate_001_right.png,media/padded_stims/animate_012_right.png,inanimate_single_right,animate_single_right,animacy,2,2,10,inanimate,single,right,deviant
SS1681508896624,1133,deviant_block,media/padded_stims/inanimate_006_left.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_left,inanimate_single_left,number,2,1,11,inanimate,pair,left,background
SS1681508896624,3330,deviant_block,media/padded_stims/inanimate_006_left.png,media/padded_stims/inanimate_008_left.png,inanimate_pair_left,inanimate_single_left,number,2,2,11,inanimate,pair,left,deviant
SS1681508896624,4111,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,1,12,animate,pair,left,background
SS1681508896624,2185,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,2,12,animate,pair,left,background
SS1681508896624,2194,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,3,12,animate,pair,left,background
SS1681508896624,2090,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,4,12,animate,pair,left,background
SS1681508896624,2972,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,5,12,animate,pair,left,background
SS1681508896624,2145,background_block,media/padded_stims/animate_009_left.png,null,animate_pair_left,null,null,6,6,12,animate,pair,left,background
