deviant_position,stimuli_sequence,complexity,trial_type,trial_number,condition_mean
2,BDBBBB,complex,background,1,5853.643023870769
2,BDBBBB,simple,background,1,4605.077652522906
2,BDBBBB,complex,deviant,2,4733.146068608445
2,BDBBBB,simple,deviant,2,3939.8063456527257
2,BDBBBB,complex,background,3,3609.1073552563935
2,BDBBBB,simple,background,3,3150.071477580021
2,BDBBBB,complex,background,4,2895.7166710461006
2,BDBBBB,simple,background,4,2567.380490717491
2,BDBBBB,complex,background,5,2712.3678947474755
2,BDBBBB,simple,background,5,2768.9073087104007
2,BDBBBB,complex,background,6,2410.5196447368185
2,BDBBBB,simple,background,6,2878.3432368627186
4,BBBDBB,complex,background,1,6070.099893904377
4,BBBDBB,simple,background,1,4839.837295512233
4,BBBDBB,complex,background,2,3401.00927439585
4,BBBDBB,simple,background,2,2916.356342103273
4,BBBDBB,complex,background,3,3092.2907368474935
4,BBBDBB,simple,background,3,3189.219052645763
4,BBBDBB,complex,deviant,4,4816.306644738911
4,BBBDBB,simple,deviant,4,3689.898881575542
4,BBBDBB,complex,background,5,3011.596802640574
4,BBBDBB,simple,background,5,2769.2031973700155
4,BBBDBB,complex,background,6,2562.5942612122776
4,BBBDBB,simple,background,6,2616.599709000765
6,BBBBBD,complex,background,1,5529.942632277152
6,BBBBBD,simple,background,1,4842.629801592096
6,BBBBBD,complex,background,2,3068.5124868487624
6,BBBBBD,simple,background,2,3015.022894734546
6,BBBBBD,complex,background,3,2978.5525394719366
6,BBBBBD,simple,background,3,3008.964828503262
6,BBBBBD,complex,background,4,2761.8972823159534
6,BBBBBD,simple,background,4,2505.4295657856683
6,BBBBBD,complex,background,5,2739.7289079077054
6,BBBBBD,simple,background,5,2581.201068609785
6,BBBBBD,complex,deviant,6,4831.87542553776
6,BBBBBD,simple,deviant,6,4106.453763155496
NA,BBBBBB,complex,background,1,5785.467360001094
NA,BBBBBB,simple,background,1,4697.534577844038
NA,BBBBBB,complex,background,2,3334.32664907777
NA,BBBBBB,simple,background,2,2894.8150789472406
NA,BBBBBB,complex,background,3,3137.700767195879
NA,BBBBBB,simple,background,3,2805.8610263185224
NA,BBBBBB,complex,background,4,2979.121622686272
NA,BBBBBB,simple,background,4,2716.543710516837
NA,BBBBBB,complex,background,5,2766.820434208845
NA,BBBBBB,simple,background,5,2699.5295657957236
NA,BBBBBB,complex,background,6,2833.4383421034386
NA,BBBBBB,simple,background,6,2882.238947367694
