trialNum, NumTeachers, NumAssessments, target, IG, scoreAboveBaseline
0,1,0,0.5,2313.200025751617,0
0,1,1,0.5,2313.2000257516165,0
0,1,2,0.5,2313.200025751617,0
0,1,3,0.5,2313.2000257516165,0
0,1,4,0.5,2313.2000257516165,0
0,1,5,0.5,0,0
0,2,0,0.5,2382.933748127167,0
0,2,1,0.5,2380.797634198388,0
0,2,2,0.5,2385.2851233843303,0
0,2,3,0.5,2389.726092554638,0
0,2,4,0.5,2388.62748026597,0
0,2,5,0.5,0,0
0,3,0,0.5,2371.962215873409,0
0,3,1,0.5,2382.503129503678,0
0,3,2,0.5,2378.6263103494853,0
0,3,3,0.5,2395.228969667387,0
0,3,4,0.5,0,0
0,3,5,0.5,0,0
0,4,0,0.5,2381.2346181782145,0
0,4,1,0.5,2382.6160416090997,0
0,4,2,0.5,2392.538858093958,0
0,4,3,0.5,2394.1813378135935,0
0,4,4,0.5,0,0
0,4,5,0.5,0,0
0,5,0,0.5,2377.33264550864,0
0,5,1,0.5,2387.5288679773025,0
0,5,2,0.5,2394.5770610612326,0
0,5,3,0.5,0,0
0,5,4,0.5,0,0
0,5,5,0.5,0,0
0,6,0,0.5,2388.1087663503845,0
0,6,1,0.5,2380.5816256569537,0
0,6,2,0.5,2395.5215226700734,0
0,6,3,0.5,0,0
0,6,4,0.5,0,0
0,6,5,0.5,0,0
0,7,0,0.5,2375.936609287051,0
0,7,1,0.5,2392.3592171966934,0
0,7,2,0.5,0,0
0,7,3,0.5,0,0
0,7,4,0.5,0,0
0,7,5,0.5,0,0
0,8,0,0.5,2377.076460150124,0
0,8,1,0.5,2388.7752877472426,0
0,8,2,0.5,0,0
0,8,3,0.5,0,0
0,8,4,0.5,0,0
0,8,5,0.5,0,0
0,9,0,0.5,2384.761875240567,0
0,9,1,0.5,0,0
0,9,2,0.5,0,0
0,9,3,0.5,0,0
0,9,4,0.5,0,0
0,9,5,0.5,0,0
0,10,0,0.5,2378.493526169911,0
0,10,1,0.5,0,0
0,10,2,0.5,0,0
0,10,3,0.5,0,0
0,10,4,0.5,0,0
0,10,5,0.5,0,0
0,1,0,0.6,2352.9241398378135,0
0,1,1,0.6,2352.924139837814,0
0,1,2,0.6,2352.924139837814,0
0,1,3,0.6,2352.924139837815,0
0,1,4,0.6,2352.9241398378144,0
0,1,5,0.6,0,0
0,2,0,0.6,2399.426010484045,0
0,2,1,0.6,2404.643014494718,0
0,2,2,0.6,2408.796301592574,0
0,2,3,0.6,2408.7963015925734,0
0,2,4,0.6,2409.60723180879,0
0,2,5,0.6,0,0
0,3,0,0.6,2388.0874101561944,0
0,3,1,0.6,2401.9650625248173,0
0,3,2,0.6,2397.8787744612923,0
0,3,3,0.6,2401.9408325462146,0
0,3,4,0.6,0,0
0,3,5,0.6,0,0
0,4,0,0.6,2396.376397437296,0
0,4,1,0.6,2402.5742307009805,0
0,4,2,0.6,2412.6478213615337,0
0,4,3,0.6,2414.0134964354506,0
0,4,4,0.6,0,0
0,4,5,0.6,0,0
0,5,0,0.6,2400.4796780660763,0
0,5,1,0.6,2407.08372365092,0
0,5,2,0.6,2410.5288624242985,0
0,5,3,0.6,0,0
0,5,4,0.6,0,0
0,5,5,0.6,0,0
0,6,0,0.6,2402.038589292311,0
0,6,1,0.6,2403.3345239176133,0
0,6,2,0.6,2410.813438841106,0
0,6,3,0.6,0,0
0,6,4,0.6,0,0
0,6,5,0.6,0,0
0,7,0,0.6,2395.135581252705,0
0,7,1,0.6,2401.481859310867,0
0,7,2,0.6,0,0
0,7,3,0.6,0,0
0,7,4,0.6,0,0
0,7,5,0.6,0,0
0,8,0,0.6,2397.5507627080638,0
0,8,1,0.6,2408.372539719312,0
0,8,2,0.6,0,0
0,8,3,0.6,0,0
0,8,4,0.6,0,0
0,8,5,0.6,0,0
0,9,0,0.6,2404.610580602139,0
0,9,1,0.6,0,0
0,9,2,0.6,0,0
0,9,3,0.6,0,0
0,9,4,0.6,0,0
0,9,5,0.6,0,0
0,10,0,0.6,2397.5520884102816,0
0,10,1,0.6,0,0
0,10,2,0.6,0,0
0,10,3,0.6,0,0
0,10,4,0.6,0,0
0,10,5,0.6,0,0
0,1,0,0.7,2433.4948943099257,0
0,1,1,0.7,2433.4948943099257,0
0,1,2,0.7,2433.4948943099253,0
0,1,3,0.7,2433.4948943099253,0
0,1,4,0.7,2433.4948943099253,0
0,1,5,0.7,0,0
0,2,0,0.7,2442.628511927247,0
0,2,1,0.7,2442.7155233042367,0
0,2,2,0.7,2444.7285727561293,0
0,2,3,0.7,2445.0470264872483,0
0,2,4,0.7,2445.6066422751837,0
0,2,5,0.7,0,0
0,3,0,0.7,2438.5292291829724,0
0,3,1,0.7,2443.9528997033613,0
0,3,2,0.7,2445.3105423026764,0
0,3,3,0.7,2453.842474785251,0
0,3,4,0.7,0,0
0,3,5,0.7,0,0
0,4,0,0.7,2439.8639004946003,0
0,4,1,0.7,2450.3053629910864,0
0,4,2,0.7,2445.121228378162,0
0,4,3,0.7,2451.77170005988,0
0,4,4,0.7,0,0
0,4,5,0.7,0,0
0,5,0,0.7,2440.5717520178155,0
0,5,1,0.7,2443.0836432191522,0
0,5,2,0.7,2451.3667798320166,0
0,5,3,0.7,0,0
0,5,4,0.7,0,0
0,5,5,0.7,0,0
0,6,0,0.7,2441.797255698172,0
0,6,1,0.7,2451.997723626308,0
0,6,2,0.7,2447.2651414683505,0
0,6,3,0.7,0,0
0,6,4,0.7,0,0
0,6,5,0.7,0,0
0,7,0,0.7,2444.30830228331,0
0,7,1,0.7,2450.07358751128,0
0,7,2,0.7,0,0
0,7,3,0.7,0,0
0,7,4,0.7,0,0
0,7,5,0.7,0,0
0,8,0,0.7,2446.0370925718157,0
0,8,1,0.7,2448.1297352499732,0
0,8,2,0.7,0,0
0,8,3,0.7,0,0
0,8,4,0.7,0,0
0,8,5,0.7,0,0
0,9,0,0.7,2448.1300320512364,0
0,9,1,0.7,0,0
0,9,2,0.7,0,0
0,9,3,0.7,0,0
0,9,4,0.7,0,0
0,9,5,0.7,0,0
0,10,0,0.7,2444.6978950162224,0
0,10,1,0.7,0,0
0,10,2,0.7,0,0
0,10,3,0.7,0,0
0,10,4,0.7,0,0
0,10,5,0.7,0,0
0,1,0,0.8,2504.9234657384986,0
0,1,1,0.8,2504.923465738498,0
0,1,2,0.8,2504.9234657384986,0
0,1,3,0.8,2504.9234657384986,0
0,1,4,0.8,2504.9234657384986,0
0,1,5,0.8,0,0
0,2,0,0.8,2504.9234657384986,0
0,2,1,0.8,2504.9234657384986,0
0,2,2,0.8,2504.9234657384986,0
0,2,3,0.8,2504.923465738499,0
0,2,4,0.8,2504.9234657384995,0
0,2,5,0.8,0,0
0,3,0,0.8,2504.9234657385,0
0,3,1,0.8,2504.9234657385,0
0,3,2,0.8,2504.9234657385005,0
0,3,3,0.8,2504.9234657385005,0
0,3,4,0.8,0,0
0,3,5,0.8,0,0
0,4,0,0.8,2504.9234657385005,0
0,4,1,0.8,2504.9234657385005,0
0,4,2,0.8,2504.9234657385005,0
0,4,3,0.8,2502.686432457662,0
0,4,4,0.8,0,0
0,4,5,0.8,0,0
0,5,0,0.8,2504.9234657385005,0
0,5,1,0.8,2504.923465738501,0
0,5,2,0.8,2500.3811071206533,0
0,5,3,0.8,0,0
0,5,4,0.8,0,0
0,5,5,0.8,0,0
0,6,0,0.8,2504.923465738501,0
0,6,1,0.8,2500.929489796599,0
0,6,2,0.8,2504.9234657385005,0
0,6,3,0.8,0,0
0,6,4,0.8,0,0
0,6,5,0.8,0,0
0,7,0,0.8,2504.9234657385005,0
0,7,1,0.8,2498.8761256272824,0
0,7,2,0.8,0,0
0,7,3,0.8,0,0
0,7,4,0.8,0,0
0,7,5,0.8,0,0
0,8,0,0.8,2501.477872472544,0
0,8,1,0.8,2502.3618767271178,0
0,8,2,0.8,0,0
0,8,3,0.8,0,0
0,8,4,0.8,0,0
0,8,5,0.8,0,0
0,9,0,0.8,2503.1507723230748,0
0,9,1,0.8,0,0
0,9,2,0.8,0,0
0,9,3,0.8,0,0
0,9,4,0.8,0,0
0,9,5,0.8,0,0
