NumTeachers, target, IG, sortedStudents
1,0.5,2305.613364802449, unsorted
1,0.5,2305.6133648024484, sorted
2,0.5,2305.6133648024474, unsorted
2,0.5,2358.681075572388, sorted
3,0.5,2305.6133648024474, unsorted
3,0.5,2366.1081079807245, sorted
5,0.5,2308.5345082190106, unsorted
5,0.5,2368.3878835158116, sorted
10,0.5,2309.9152065946264, unsorted
10,0.5,2370.534127658273, sorted
1,0.6,2349.418345242434, unsorted
1,0.6,2349.418345242437, sorted
2,0.6,2349.418345242434, unsorted
2,0.6,2363.193991778956, sorted
3,0.6,2349.418345242435, unsorted
3,0.6,2374.3801114805633, sorted
5,0.6,2349.4183452424345, unsorted
5,0.6,2375.786145858208, sorted
10,0.6,2349.418345242435, unsorted
10,0.6,2376.6453469821085, sorted
1,0.7,2382.751678575767, unsorted
1,0.7,2382.7516785757666, sorted
2,0.7,2382.751678575768, unsorted
2,0.7,2382.751678575768, sorted
3,0.7,2382.751678575768, unsorted
3,0.7,2384.0476228602574, sorted
5,0.7,2382.751678575768, unsorted
5,0.7,2387.3559378543105, sorted
10,0.7,2382.751678575768, unsorted
10,0.7,2387.6534932399763, sorted
1,0.8,2389.8945357186235, unsorted
1,0.8,2389.894535718626, sorted
2,0.8,2389.894535718624, unsorted
2,0.8,2389.894535718624, sorted
3,0.8,2389.894535718625, unsorted
3,0.8,2389.8945357186253, sorted
5,0.8,2389.894535718625, unsorted
5,0.8,2389.894535718625, sorted
10,0.8,2389.8945357186244, unsorted
10,0.8,2389.8945357186244, sorted
1,0.9,2339.8945357186235, unsorted
1,0.9,2339.8945357186253, sorted
2,0.9,2339.894535718624, unsorted
2,0.9,2339.894535718624, sorted
3,0.9,2339.894535718625, unsorted
3,0.9,2339.8945357186253, sorted
5,0.9,2339.894535718625, unsorted
5,0.9,2339.894535718625, sorted
10,0.9,2339.8945357186244, unsorted
10,0.9,2339.8945357186244, sorted
1,0.5,2303.1521393997227, unsorted
1,0.5,2303.152139399721, sorted
2,0.5,2303.152139399721, unsorted
2,0.5,2350.3438256847303, sorted
3,0.5,2303.152139399721, unsorted
3,0.5,2360.922286139714, sorted
5,0.5,2303.9274491848173, unsorted
5,0.5,2364.15626514411, sorted
10,0.5,2308.610013080717, unsorted
10,0.5,2366.0257046408537, sorted
1,0.6,2347.1177096848105, unsorted
1,0.6,2347.1177096848137, sorted
2,0.6,2347.1177096848096, unsorted
2,0.6,2358.9826338346206, sorted
3,0.6,2347.1177096848096, unsorted
3,0.6,2371.4013298862965, sorted
5,0.6,2347.11770968481, unsorted
5,0.6,2374.1946844618406, sorted
10,0.6,2347.1177096848096, unsorted
10,0.6,2376.050792122536, sorted
1,0.7,2380.451043018144, unsorted
1,0.7,2380.451043018142, sorted
2,0.7,2380.4510430181435, unsorted
2,0.7,2380.4510430181426, sorted
3,0.7,2380.4510430181435, unsorted
3,0.7,2381.4581253483543, sorted
5,0.7,2380.4510430181435, unsorted
5,0.7,2386.2356223633324, sorted
10,0.7,2380.451043018143, unsorted
10,0.7,2386.8516314801172, sorted
1,0.8,2387.5939001609995, unsorted
1,0.8,2387.5939001610004, sorted
2,0.8,2387.5939001609995, unsorted
2,0.8,2387.5939001609995, sorted
3,0.8,2387.5939001610004, unsorted
3,0.8,2387.5939001610004, sorted
5,0.8,2387.5939001610004, unsorted
5,0.8,2387.5939001610004, sorted
10,0.8,2387.5939001610004, unsorted
10,0.8,2387.5939001610004, sorted
1,0.9,2337.5939001609995, unsorted
1,0.9,2337.593900161, sorted
2,0.9,2337.5939001609995, unsorted
2,0.9,2337.593900160999, sorted
3,0.9,2337.5939001610004, unsorted
3,0.9,2337.5939001610004, sorted
5,0.9,2337.5939001610004, unsorted
5,0.9,2337.5939001610004, sorted
10,0.9,2337.5939001610004, unsorted
10,0.9,2337.5939001610004, sorted
1,0.5,2302.1576409888307, unsorted
1,0.5,2302.1576409888294, sorted
2,0.5,2302.1576409888294, unsorted
2,0.5,2363.6362022723215, sorted
3,0.5,2302.4247037740784, unsorted
3,0.5,2374.025279969571, sorted
5,0.5,2302.64114498429, unsorted
5,0.5,2374.6929369326936, sorted
10,0.5,2306.9849504061435, unsorted
10,0.5,2375.76118807369, sorted
1,0.6,2334.7552307172505, unsorted
1,0.6,2334.7552307172537, sorted
2,0.6,2334.755230717252, unsorted
2,0.6,2360.626563018008, sorted
3,0.6,2334.755230717252, unsorted
3,0.6,2371.2479465155648, sorted
5,0.6,2334.755230717252, unsorted
5,0.6,2371.711937247249, sorted
10,0.6,2336.0933938331937, unsorted
10,0.6,2373.280362835493, sorted
1,0.7,2368.088564050586, unsorted
1,0.7,2368.0885640505835, sorted
2,0.7,2368.088564050586, unsorted
2,0.7,2368.088564050585, sorted
3,0.7,2368.088564050585, unsorted
3,0.7,2374.5804603897686, sorted
5,0.7,2368.088564050585, unsorted
5,0.7,2375.9670279648726, sorted
10,0.7,2368.088564050585, unsorted
10,0.7,2376.306380041443, sorted
1,0.8,2375.2314211934404, unsorted
1,0.8,2375.2314211934436, sorted
2,0.8,2375.231421193441, unsorted
